* name=baseData,structure="I32"
190 162
* name=time,structure="F64"
1.0 1.0
* name=mat_ElQ4g,structure="F64*6",type="mat",index=1
1.0e10 0.3 0.0 0.0 3000.0 0.6
* name=mat_StressBL2g,structure="F64*2",type="mat",index=1
0.0 100.0
* name=coord,structure="I32*1 F64*2",type="coord",index=1
121 4.445486000000e+01 5.102039000000e+00
122 2.777778000000e+01 5.000000000000e+01
123 3.307136000000e+01 2.213805000000e+01
124 2.748305000000e+01 4.451028000000e+01
125 3.873075000000e+01 1.060355000000e+01
126 2.744088000000e+01 3.916452000000e+01
127 2.758872000000e+01 3.354535000000e+01
128 4.444444000000e+01 0.000000000000e+00
129 3.318610000000e+01 1.621214000000e+01
130 2.766028000000e+01 2.798381000000e+01
131 3.898134000000e+01 5.205083000000e+00
132 2.778132000000e+01 2.239085000000e+01
133 3.339712000000e+01 1.060725000000e+01
134 2.222222000000e+01 5.000000000000e+01
135 2.196287000000e+01 4.463811000000e+01
136 2.189239000000e+01 3.912987000000e+01
137 3.888889000000e+01 0.000000000000e+00
138 2.796081000000e+01 1.646048000000e+01
139 2.210022000000e+01 3.367054000000e+01
140 3.342106000000e+01 5.290094000000e+00
141 2.230649000000e+01 2.791448000000e+01
142 2.803755000000e+01 1.080650000000e+01
143 2.245867000000e+01 2.236376000000e+01
144 1.666667000000e+01 5.000000000000e+01
145 3.333333000000e+01 0.000000000000e+00
146 1.654486000000e+01 4.453793000000e+01
147 1.653075000000e+01 3.910871000000e+01
148 2.267087000000e+01 1.659221000000e+01
149 2.797244000000e+01 5.348049000000e+00
150 1.671937000000e+01 3.374419000000e+01
151 1.686276000000e+01 2.804997000000e+01
152 2.266118000000e+01 1.094704000000e+01
153 1.695400000000e+01 2.252975000000e+01
154 2.777778000000e+01 0.000000000000e+00
155 1.111111000000e+01 5.000000000000e+01
156 1.101916000000e+01 4.440488000000e+01
157 1.713537000000e+01 1.683878000000e+01
158 2.250203000000e+01 5.423382000000e+00
159 1.098435000000e+01 3.907675000000e+01
160 1.116128000000e+01 3.363005000000e+01
161 1.134677000000e+01 2.824338000000e+01
162 1.698158000000e+01 1.114236000000e+01
163 2.222222000000e+01 0.000000000000e+00
164 1.138722000000e+01 2.254009000000e+01
165 1.699362000000e+01 5.535260000000e+00
166 5.555556000000e+00 5.000000000000e+01
167 1.144088000000e+01 1.682442000000e+01
168 5.532033000000e+00 4.446066000000e+01
169 5.551159000000e+00 3.892649000000e+01
170 5.641555000000e+00 3.353115000000e+01
171 5.734460000000e+00 2.812515000000e+01
172 1.132233000000e+01 1.114218000000e+01
173 1.666667000000e+01 0.000000000000e+00
174 5.755189000000e+00 2.244725000000e+01
175 1.114878000000e+01 5.515168000000e+00
176 0.000000000000e+00 5.000000000000e+01
177 5.686555000000e+00 1.674215000000e+01
178 0.000000000000e+00 4.444444000000e+01
179 0.000000000000e+00 3.888889000000e+01
180 0.000000000000e+00 3.333333000000e+01
181 1.111111000000e+01 0.000000000000e+00
182 5.718077000000e+00 1.108676000000e+01
183 0.000000000000e+00 2.777778000000e+01
184 0.000000000000e+00 2.222222000000e+01
185 5.605604000000e+00 5.539370000000e+00
186 0.000000000000e+00 1.666667000000e+01
187 5.555556000000e+00 0.000000000000e+00
188 0.000000000000e+00 1.111111000000e+01
189 0.000000000000e+00 5.555556000000e+00
190 0.000000000000e+00 0.000000000000e+00
* name=ubfElDisp,structure="I32*1 F64*2",type="ubf",index=0
176 0.000000000000e+00 0.000000000000e+00
178 0.000000000000e+00 0.000000000000e+00
179 0.000000000000e+00 0.000000000000e+00
180 0.000000000000e+00 0.000000000000e+00
183 0.000000000000e+00 0.000000000000e+00
184 0.000000000000e+00 0.000000000000e+00
186 0.000000000000e+00 0.000000000000e+00
188 0.000000000000e+00 0.000000000000e+00
189 0.000000000000e+00 0.000000000000e+00
190 0.000000000000e+00 0.000000000000e+00
* name=ElQ4g,structure="I32*6",type="elem",index=1
1 73 72 58 59 1
2 2 1 3 4 1
3 166 176 178 168 1
4 189 190 187 185 1
5 76 73 59 63 1
6 6 2 4 7 1
7 155 166 168 156 1
8 188 189 185 182 1
9 81 76 63 65 1
10 58 45 46 59 1
11 11 6 7 12 1
12 3 5 8 4 1
13 144 155 156 146 1
14 178 179 169 168 1
15 186 188 182 177 1
16 187 181 175 185 1
17 84 81 65 70 1
18 45 35 36 46 1
19 17 11 12 18 1
20 5 10 13 8 1
21 134 144 146 135 1
22 179 180 170 169 1
23 184 186 177 174 1
24 181 173 165 175 1
25 91 84 70 80 1
26 35 24 25 36 1
27 24 17 18 25 1
28 10 16 19 13 1
29 122 134 135 124 1
30 180 183 171 170 1
31 183 184 174 171 1
32 173 163 158 165 1
33 97 91 80 88 1
34 16 23 28 19 1
35 110 122 124 113 1
36 163 154 149 158 1
37 105 97 88 95 1
38 23 34 37 28 1
39 100 110 113 101 1
40 154 145 140 149 1
41 111 105 95 104 1
42 34 44 47 37 1
43 86 100 101 89 1
44 145 137 131 140 1
45 120 111 104 112 1
46 44 57 61 47 1
47 71 86 89 75 1
48 57 71 75 61 1
49 137 128 121 131 1
50 128 120 112 121 1
51 185 175 172 182 1
52 177 182 172 167 1
53 175 165 162 172 1
54 165 158 152 162 1
55 158 149 142 152 1
56 149 140 133 142 1
57 140 131 125 133 1
58 131 121 116 125 1
59 121 112 107 116 1
60 112 104 96 107 1
61 104 95 85 96 1
62 95 88 77 85 1
63 88 80 67 77 1
64 80 70 60 67 1
65 70 65 53 60 1
66 63 59 46 50 1
67 65 63 50 53 1
68 168 169 159 156 1
69 174 177 167 164 1
70 46 36 38 50 1
71 36 25 29 38 1
72 171 174 164 161 1
73 169 170 160 159 1
74 170 171 161 160 1
75 25 18 21 29 1
76 18 12 14 21 1
77 12 7 9 14 1
78 7 4 8 9 1
79 146 156 159 147 1
80 135 146 147 136 1
81 124 135 136 126 1
82 113 124 126 115 1
83 101 113 115 102 1
84 89 101 102 92 1
85 75 89 92 79 1
86 61 75 79 64 1
87 47 61 64 52 1
88 37 47 52 39 1
89 28 37 39 30 1
90 19 28 30 22 1
91 13 19 22 15 1
92 8 13 15 9 1
93 167 172 162 157 1
94 162 152 148 157 1
95 152 142 138 148 1
96 142 133 129 138 1
97 133 125 118 129 1
98 147 159 160 150 1
99 125 116 109 118 1
100 136 147 150 139 1
101 126 136 139 127 1
102 115 126 127 117 1
103 9 15 20 14 1
104 21 14 20 26 1
105 164 167 157 153 1
106 161 164 153 151 1
107 160 161 151 150 1
108 102 115 117 106 1
109 92 102 106 94 1
110 79 92 94 83 1
111 64 79 83 68 1
112 52 64 68 54 1
113 39 52 54 43 1
114 30 39 43 33 1
115 15 22 27 20 1
116 22 30 33 27 1
117 53 50 38 42 1
118 116 107 99 109 1
119 29 21 26 32 1
120 26 20 27 31 1
121 38 29 32 42 1
122 60 53 42 49 1
123 67 60 49 55 1
124 77 67 55 66 1
125 85 77 66 78 1
126 107 96 90 99 1
127 96 85 78 90 1
128 139 150 151 141 1
129 127 139 141 130 1
130 117 127 130 119 1
131 106 117 119 108 1
132 94 106 108 98 1
133 83 94 98 87 1
134 68 83 87 74 1
135 49 42 32 40 1
136 55 49 40 48 1
137 66 55 48 56 1
138 78 66 56 69 1
139 153 157 148 143 1
140 151 153 143 141 1
141 148 138 132 143 1
142 141 143 132 130 1
143 54 68 74 62 1
144 43 54 62 51 1
145 138 129 123 132 1
146 130 132 123 119 1
147 129 118 114 123 1
148 119 123 114 108 1
149 33 43 51 41 1
150 27 33 41 31 1
151 32 26 31 40 1
152 40 31 41 48 1
153 48 41 51 56 1
154 56 51 62 69 1
155 118 109 103 114 1
156 108 114 103 98 1
157 109 99 93 103 1
158 98 103 93 87 1
159 90 78 69 82 1
160 69 62 74 82 1
161 74 87 93 82 1
162 82 93 99 90 1
